path,filename,modality,vocal_channel,emotion_id,emotion,emotion_intensity,statement,repetition,actor_id,gender,client_id
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,03-01-01-01-01-01-01.wav,3,1,1,neutral,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,03-01-01-01-01-02-01.wav,3,1,1,neutral,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,03-01-01-01-02-01-01.wav,3,1,1,neutral,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,03-01-01-01-02-02-01.wav,3,1,1,neutral,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,03-01-02-01-01-01-01.wav,3,1,2,calm,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,03-01-02-01-01-02-01.wav,3,1,2,calm,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,03-01-02-01-02-01-01.wav,3,1,2,calm,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,03-01-02-01-02-02-01.wav,3,1,2,calm,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,03-01-02-02-01-01-01.wav,3,1,2,calm,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,03-01-02-02-01-02-01.wav,3,1,2,calm,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,3,1,2,calm,2,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,3,1,2,calm,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,3,1,3,happy,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,3,1,3,happy,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,3,1,3,happy,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,3,1,3,happy,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,3,1,3,happy,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,3,1,3,happy,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,3,1,3,happy,2,2,1,1,male,1
